timestamp,hand_detected,cursor_held,finger_mode,index_extended,middle_extended,raw_x,raw_y,virtual_x,virtual_y,inside_window,inside_interaction,state,target_block
8895.285,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8895.484,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8895.688,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8895.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8896.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8896.276,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8896.484,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8896.681,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8896.888,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.076,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.388,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.580,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.685,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.876,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8897.977,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8898.086,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8898.280,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8898.485,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8898.680,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8898.788,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8898.985,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8899.176,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8899.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8899.480,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8899.685,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8899.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8900.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8900.184,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8900.373,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8900.485,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8900.677,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8900.889,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8901.076,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8901.297,True,False,ONE_FINGER,True,True,0.48429,0.49034,484,692,True,True,TRACKING,
8901.476,True,False,ONE_FINGER,True,True,0.52935,0.54595,529,770,False,True,TRACKING,
8901.685,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8901.793,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8901.977,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8902.101,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8902.276,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8902.489,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8902.677,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8902.892,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8903.081,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8903.294,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8903.484,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8903.694,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8903.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8903.984,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8904.094,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8904.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8904.489,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8904.677,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8904.788,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8904.891,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8905.077,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8905.292,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8905.491,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8905.689,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8905.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8906.085,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8906.189,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8906.375,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8906.493,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8906.676,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8906.883,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8907.081,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8907.285,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8907.473,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8907.575,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8907.687,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8907.880,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8908.087,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8908.278,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8908.487,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8908.680,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8908.888,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8909.079,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8909.287,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8909.481,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8909.688,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8909.875,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8910.082,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8910.278,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8910.481,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8910.673,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8910.775,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8910.893,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8911.082,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8911.294,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8911.489,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8911.686,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8911.877,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8911.983,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8912.095,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8912.282,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8912.485,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8912.594,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8912.772,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8912.893,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.076,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.285,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.385,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.489,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.686,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.881,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8913.989,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8914.097,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8914.283,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8914.485,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
